Model Name,Raw Input Price,Raw Output Price,1:1 Blended Cost,8:2 Blended Cost,9:1 Blended Cost
Anthropic: Claude Fable 5,10.0,50.0,30.0,18.0,14.0
OpenAI: GPT-5.6 Sol,5.0,30.0,17.5,10.0,7.5
MoonshotAI: Kimi K3,3.0,15.0,9.0,5.4,4.2
Anthropic: Claude Opus 4.8,5.0,25.0,15.0,9.0,7.0
OpenAI: GPT-5.6 Terra,2.5,15.0,8.75,5.0,3.75
OpenAI: GPT-5.5,5.0,30.0,17.5,10.0,7.5
xAI: Grok 4.5,2.0,6.0,4.0,2.8000000000000003,2.4000000000000004
Anthropic: Claude Opus 4.7,5.0,25.0,15.0,9.0,7.0
Anthropic: Claude Sonnet 5,2.0,10.0,6.0,3.6,2.8
OpenAI: GPT-5.4,2.5,15.0,8.75,5.0,3.75
OpenAI: GPT-5.6 Luna,1.0,6.0,3.5,2.0,1.5
Z.ai: GLM 5.2,0.301,0.946,0.6234999999999999,0.43000000000000005,0.3655
Meta: Muse Spark 1.1,1.25,4.25,2.75,1.85,1.55
Google: Gemini 3.5 Flash,1.5,9.0,5.25,3.0,2.25
Anthropic: Claude Sonnet 4.6,3.0,15.0,9.0,5.4,4.2
Google: Gemini 3.1 Pro Preview,2.0,12.0,7.0,4.0,3.0
Qwen: Qwen3.7 Max,1.475,4.425,2.95,2.0650000000000004,1.77
MiniMax: MiniMax M3,0.3,1.2,0.75,0.48,0.39
DeepSeek: DeepSeek V4 Pro,0.435,0.87,0.6525,0.522,0.47850000000000004
MoonshotAI: Kimi K2.6,0.95,4.0,2.475,1.56,1.255
Xiaomi: MiMo-V2.5-Pro,0.435,0.87,0.6525,0.522,0.47850000000000004
MoonshotAI: Kimi K2.7 Code,1.0,4.4,2.7,1.6800000000000002,1.34
Tencent: Hy3 preview,0.063,0.21,0.1365,0.09240000000000001,0.0777
Nex AGI: Nex-N2-Pro,0.25,1.0,0.625,0.4,0.325
Thinking Machines: Inkling,1.0,4.05,2.525,1.61,1.3050000000000002
DeepSeek: DeepSeek V4 Flash,0.098,0.196,0.14700000000000002,0.11760000000000001,0.1078
Z.ai: GLM 5.1,0.966,3.036,2.001,1.3800000000000001,1.173
OpenAI: GPT-5.4 Mini,0.75,4.5,2.625,1.5,1.125
xAI: Grok Build 0.1,1.0,2.0,1.5,1.2000000000000002,1.1
Qwen: Qwen3.6 Plus,0.325,1.95,1.1375,0.65,0.48750000000000004
