Model Name,Intelligence Index,Total Blended Cost,Value Score (raw),Value Score (%)
Tencent: Hy3 preview,41.2,0.30660000000000004,403.13111545988255,100.0
DeepSeek: DeepSeek V4 Flash,40.3,0.37240000000000006,324.6509129967776,80.53233812687057
Z.ai: GLM 5.2,51.1,1.1814,129.76130015236163,32.188361348474174
Nex AGI: Nex-N2-Pro,41.0,1.3499999999999999,91.11111111111111,22.600862998921254
MiniMax: MiniMax M3,44.4,1.62,82.22222222222221,20.395900755124057
DeepSeek: DeepSeek V4 Pro,44.3,1.653,80.39927404718692,19.943703416559476
Xiaomi: MiMo-V2.5-Pro,42.2,1.653,76.58802177858439,18.99829083925079
Qwen: Qwen3.6 Plus,39.6,2.2750000000000004,52.21978021978022,12.953547423450336
xAI: Grok Build 0.1,39.8,3.8000000000000003,31.42105263157894,7.794251405212059
MoonshotAI: Kimi K2.6,44.2,4.2408,31.267685342388233,7.7562073834759175
Z.ai: GLM 5.1,40.2,4.554,26.48221343873518,6.569131586016348
MoonshotAI: Kimi K2.7 Code,41.9,4.91,25.600814663951116,6.350493346251953
Meta: Muse Spark 1.1,50.6,6.1499999999999995,24.682926829268297,6.12280369405636
OpenAI: GPT-5.4 Mini,40.0,5.25,22.857142857142858,5.66990291262136
Thinking Machines: Inkling,40.7,5.4399999999999995,22.444852941176475,5.567630996573389
OpenAI: GPT-5.6 Luna,51.2,7.0,21.942857142857147,5.443106796116506
Qwen: Qwen3.7 Max,46.0,6.785,20.338983050847457,5.045252591739345
xAI: Grok 4.5,53.8,9.200000000000001,17.54347826086956,4.351804558885605
Google: Gemini 3.5 Flash,50.2,10.5,14.342857142857145,3.557864077669904
Anthropic: Claude Sonnet 5,53.4,12.399999999999999,12.919354838709678,3.2047525837770126
Google: Gemini 3.1 Pro Preview,46.5,14.0,9.964285714285714,2.471723300970874
OpenAI: GPT-5.6 Terra,55.0,17.5,9.428571428571429,2.338834951456311
MoonshotAI: Kimi K3,57.1,18.6,9.209677419354838,2.2845364860632635
OpenAI: GPT-5.4,51.4,17.5,8.811428571428571,2.1857475728155342
Anthropic: Claude Sonnet 4.6,47.2,18.6,7.612903225806452,1.888443470090824
Anthropic: Claude Opus 4.8,55.7,31.0,5.3903225806451625,1.3371139993736303
Anthropic: Claude Opus 4.7,53.5,31.0,5.17741935483871,1.2843015972439713
OpenAI: GPT-5.6 Sol,58.9,35.0,5.048571428571428,1.2523398058252426
OpenAI: GPT-5.5,54.8,35.0,4.697142857142857,1.1651650485436893
Anthropic: Claude Fable 5,59.9,62.0,2.898387096774193,0.7189688380833072
